,name,wins,kills,kdRatio,killstreak,level,losses,prestige,hits,timePlayed,headshots,averageTime,gamesPlayed,assists,misses,xp,scorePerMinute,shots,deaths
1255,冰不如她心一半凉#1202093,10,367,1.11550152,11,14,5,110,594,45,89,3.75,12,52,3776,89866,144.5066667,4370,329
1256,Scared#7746837,0,14,0.875,0,2,0,110,0,8,2,8.0,0,3,0,6300,0.0,0,16
1257,lowkey710_420#3738643,531,11611,0.965009973,14,113,10,110,38777,1201,1962,2.274621212,528,2842,135387,1769346,148.0965862,174164,12032
1258,Hyun#9712504,1,4,0.285714286,2,1,1,0,24,2,1,2.0,1,3,225,1300,320.7,249,14
1259,Vegasmedic777#1719717,0,1,0.071428571,0,1,0,0,0,5,1,5.0,0,0,0,1600,0.0,0,14
1260,Xapo_04#6920184,0,1,0.25,0,1,0,0,0,2,0,2.0,0,0,0,650,0.0,0,4
1264,Shadow9World#3013168,1,65,2.5,8,3,1,20,197,3,34,1.5,2,9,578,8825,226.4,775,26
1265,Chaye#4862193,323,5587,0.959141631,15,52,39,111,24498,855,1357,3.143382353,272,1444,102356,856261,218.9592982,126854,5825
1267,deinVater#4016447,48,993,0.825436409,11,24,6,110,4232,204,149,5.230769231,39,272,17665,213490,127.3411765,21897,1203
1268,o Jwinn#1431809,18,630,0.883590463,10,14,9,0,2392,59,72,1.512820513,39,119,9184,91160,310.2101695,11576,713
1269,stevrick#7921608,0,1,0.045454545,0,1,0,0,0,10,0,10.0,0,0,0,1825,0.0,0,22
1270,ninjamidget#7404492,13,150,0.414364641,5,7,3,0,544,26,21,2.6,10,33,2366,33915,258.8538462,2910,362
1271,tsuna_tsutayama#3588777,5,130,0.769230769,9,4,2,0,475,9,17,2.25,4,37,2543,16305,375.4,3018,169
1272,TheBrainEATER#1446450,77,1444,0.527584947,6,30,6,110,4198,220,218,3.055555556,72,297,51279,314529,320.4790909,55477,2737
1273,BArrrrrios,276,4790,0.970618034,11,152,10,112,10384,1320,639,15.0,88,811,49914,2866166,44.19272727,60298,4935
1274,Ogonkillu#2082114,244,6245,0.907703488,11,56,6,78,28065,464,956,2.367346939,196,1522,163259,973050,318.4474138,191324,6880
1275,WildSheet520101#8826167,32,265,0.466549296,5,8,4,0,1211,54,26,2.842105263,19,64,7832,35425,266.6777778,9043,568
1276,kidnap#2200919,9,85,0.49132948,2,8,1,110,146,36,18,18.0,2,33,1419,38740,56.16666667,1565,173
1277,Travisdabest#5693265,0,1,0.066666667,0,1,0,110,0,7,0,7.0,0,0,0,1425,0.0,0,15
1278,Ri0TxRemix#9868633,501,11042,0.969106547,19,99,48,9,32415,1094,1912,2.201207243,497,1953,143051,1511016,278.4822669,175466,11394
1279,zetsoga,10,128,0.429530201,4,6,4,0,595,18,18,2.25,8,46,3932,23545,305.9,4527,298
1281,SouthWind1#3259446,57,164,0.407960199,2,17,2,36,21,112,26,28.0,4,3,171,119835,13.41428571,192,402
